Tatsumaki | 🐱  |  **Joseph The Engineer, did you know?** In just seven years, a single pair of cats and their offspring could produce a staggering total of 420,000 kittens.
e different roles you can earn
Type `ping` to test your connection to Discord's servers.
Type `t!selfrole get color: <color>` command to change the color of your username.
Do `t!catfacts` to get random facts about cats.
Do the `t!credits` command to see how many credits you have.
Use the `t!reputation` command to give someone a rep point.
Use the `t!vote` command to setup a poll.

**To see specific bot commands do:**
`help notsobot`
`help rythm`
`help tatsumaki`
t@prune 6
🗑  |  **Joseph The Engineer**, successfully deleted 6 messages from this channel!
Dblcut3 | I wish we could send an email to every forums member about joining the discord though... The forums was really active for a while and has a lot of good old builders that were members
Dblcut3 | But in all reality, the forums should just be archived and redirected to the eden wiki forums. I do miss having a place to make official update posts for my world though - discord just isnt great for doing that imo
ChazyB06 | 👍🏼
Martin | and in that discord there are not that much ppl who care about our worlds
Martin | i guess
Ari | the forums are hacked btw
Ari | i fixed it once
Dblcut3 | Omg really 😄
Ari | and then it happened again
Dblcut3 | Define "hacked"
Ari | they have a virus where the first time you visit it from google or something it redirects to an ad website
Dblcut3 | <@336567873990426636> Tbh people do care about some worlds but just not others as much Ive noticed. Id imagine it would be the same way on a forums post though. I do wish Discord had more forums type elements to it though
Jeremy | yeah, I cant even access the site from google
Dblcut3 | <@!327581941807316992> Ah yes it does. I noticed that. But if you use the actual url it doesnt redirect
Martin | yeah that happened to me 15 minutes ago, Ari
Ari | the virus thing finds some security glitch with the forum, then uses it to put a bunch of malicious code in the files
Ari | its kinda neat if it wasn't so annoying
Martin | can the fact that sometimes when i click on a website from google it redirects me to a malicious website be related to eden forum hack ?
Ari | thats the hack
Ari | i don't think it does anything else
Ari | i fixed it one time and i updated the forum software and all that stuff
Ari | and then it got hacked again , and there wasn't any good option because if you change forum software its very difficult to keep posts
Joseph The Engineer | help t
Moof | ```Tatsumaki Commands```
  **Core -** `help` `invite` `leveledroles` `ping` `selfroles` `support`
  **Social -** `background` `badges` `dailies` `played` `profile` `rank` `reputation` `setinfo` `settitle` `top`
  **Fun -** `8ball` `cah` `cat` `catfacts` `choose` `coin` `cookie` `dice` `dog` `dogfacts` `fishy` `fortune` `numberfacts` `psychopass` `ratewaifu` `reverse` `rps` `slots tags` `tatsugotchi` `beautiful` `hackerman`
  **Economy -** `credits` `points`
  **Utilities -** `color` `converter` `crypto` `google` `image` `lotto` `math` `remindme` `shorten` `stocks` `strawpoll` `todo` `urban` `vote` `weather` `wiki` `youtube`
  **Information -** `apikey` `avatar` `botlist` `changelog` `channel` `info` `role` `server` `shared` `usage`
  **Anime -** `anime` `manga` `osu` `sic`

**Usage:** `t!<command> <args>`
Joseph The Engineer | t@help
Tatsumaki | ```fix
Moderator Commands List 
```
Use `t@help [command]` to get more info on a specific command, for example: `t@help stats`

**Configuration - **`autorole` `disable` `enable` `goodbye` `ignore` `language` `leveledroles` `notify` `nsfw` `persistence` `prefix` `selfroles` `timezone` `welcome` `whitelist` 
**Information - **`stats` 
**Information - **`twitch` 
**Server Management - **`ban` `blacklist` `deltag` `help` `kick` `points` `prune` `scores` 

```pl
# Don't include the example brackets when using commands!
# To view standard commands, use t!help
```
Joseph The Engineer | t@prune 2
Tatsumaki | 🗑  |  **Joseph The Engineer**, successfully deleted 2 messages from this channel!
Dblcut3 | That's a shame.... I wish there was a simple way to just archive all the old posts on a non-compromised site
Ari | theres internetarchive 😄
Dblcut3 | You should try to include a simple way to convert the world to the winter theme btw
Dblcut3 | Idk if thats possible though
Jeremy | yeah.
Jeremy | I already have that.
Dblcut3 | Oh awesome!
Dblcut3 | Im going to edit the worlds in the wiki nav-bar. Any suggestions on which ones to include? (The current ones are kinda outdated worlds)
Dblcut3 | And instead of having "popular worlds" "staff favorite" ect as the subcategories, should i change it to like "city worlds" "fantasy worlds" "classic worlds" ect?
Ari | woah, interdimension god stumpy
Martin | that depends on if you want the worlds in these categories to be the popular and staff favorite ones
Samara | <@212611882803134464> I got tagged and you were talking about admin rights? o.O
Samara | I only know I had admin rights on the old discord server
Dblcut3 | <@213035306725670913> Oh i thought u were an admin on the old forums
Samara | not really. I always felt I posted too much trash to be worth an admin
Samara | i still checked and realised the site is down
Enderstripe | Personally i would go for *active worlds*
Martin | Same
Jeremy | t!top 2
Tatsumaki | 🏙  |  **Guild Score Leaderboards for Eden: Universe Builder**

```pl
📋 Rank | Name

[11]    > #ZestyWheathin
			Total Score: 1845      
[12]    > #ChazyB06
			Total Score: 1831      
[13]    > #FJSP
			Total Score: 1704      
[14]    > #Palaisia
			Total Score: 1565      
[15]    > #Ari
			Total Score: 1280      
[16]    > #User Left Guild (Discord ID: 315581710723186698)
			Total Score: 992       
[17]    > #Gunni - Olympic Metropolis
			Total Score: 969       
[18]    > #sam
			Total Score: 902       
[19]    > #welshlad444
			Total Score: 812       
[20]    > #Samara
			Total Score: 741       
-------------------------------------
# Your Guild Placing Stats
😐 Rank: 3	Total Score: 15231
```
Jeremy | t!stocks aapl
Tatsumaki | <:no:390511503238758400>  |  **Jeremy**, an error occurred! We're looking into it, please try again.
Martin | t!stocks AAPL
Tatsumaki | <:no:390511503238758400>  |  **Martin**, an error occurred! We're looking into it, please try again.
Martin | t!weather Saint-Mair
Martin | t!weather Saint-Maur
Tatsumaki | :flag_fr: |  **Weather for Saint-Maur, FR**
**Weather:** ☀ (clear sky)
**Temp:** 48 °F / 9 °C **Wind:** 9 mph / 4.1 m/s
**Humidity:** 70% **Cloudiness:** 0%
Jeremy | t!weather 49934
Tatsumaki | :flag_us: |  **Weather for Houghton, US**
**Weather:** ☀ (clear sky)
**Temp:** 39 °F / 4 °C **Wind:** 9 mph / 4.1 m/s
**Humidity:** 44% **Cloudiness:** 1%
Jeremy | t!stock aapl
Tatsumaki | <:no:390511503238758400>  |  **Jeremy**, an error occurred! We're looking into it, please try again.
Jeremy | t!daily
Tatsumaki | 🏧 | **Jeremy**, **you received your 💴 200 daily credits!**

**Streak: <:b_:400807295363317760><:ou:400807295933743105><:nu:400807295845662721><:uu:400807296231538688><:su:400807295870697473>**
Enderstripe | t!daily <@336567873990426636>
Tatsumaki | 🏧  |  **Enderstripe**, **daily 💴 credits reset in 23 hours, 39 minutes and 8 seconds.**
•••santiago••• | t!daily
Tatsumaki | 🏧 | **•••santiago•••**, **you received your 💴 200 daily credits!**
Edgest | I agree with enderstripe^
Edgest | And in regards to the manipulation tool for some things it is useful, then for other things I think it’s cheating.
Edgest | t!daily
Tatsumaki | 🏧 | **Edgest**, **you received your 💴 200 daily credits!**
selling dis bot tweet senseibin | 
Moof | Welcome <@503740498276777985> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233990642335745> or a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@503740498276777985> :cancel:
Joseph The Engineer | wtf
Joseph The Engineer | t@pune 3
Joseph The Engineer | t@prune 7
Tatsumaki | 🗑  |  **Joseph The Engineer**, successfully deleted 7 messages from this channel!
Resevicole | I remember seeing this on the App Store in 2011 and downloading Eden so fast. Good memories
FJSP | t!daily
Tatsumaki | 🏧 | **FJSP**, **you received your 💴 200 daily credits!**

**Streak: <:b_:400807295363317760><:o_:400807295833079808><:n_:400807295648399362><:u_:400807295879217153><:su:400807295870697473>**
Samara | Back in 2014 or 2015 I was finding the world again after searching the word „origin“. I reuploaded it then  i think. maybe you can still find it
Samara | <@155957661639114752> we could need a better search system for finding eden worlds. maybe we could use a filter that shows worlds older then 2012? o:
Martin | I’d love that
Joseph The Engineer | t!daily
Tatsumaki | 🏧 | **Joseph The Engineer**, **you received your 💴 200 daily credits!**

**Streak: <:b_:400807295363317760><:o_:400807295833079808><:n_:400807295648399362><:u_:400807295879217153><:su:400807295870697473>**
gogogo discord.me/memesworldwide | 
Moof | Welcome <@504017357782384652> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233990642335745> or a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@504017357782384652> :cancel:
Enderstripe | Please remove that tag
Enderstripe | From "welcome to"
Gunni - Olympic Metropolis | Yes I had. I liked the basement most for after-party lol
Martin | Haha. Anything else you want to be added to this tree house ?
Enderstripe | "By Guntram - Email - heidisksmfifosiwjr@web.de 😛- Email me if you like my map or have ideas of what I shall build
Enderstripe | ( email replaced with fake one)
Enderstripe | Lol
gogogo discord.me/memesworldwide | 
Moof | Welcome <@504017357782384652> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233990642335745> or a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@504017357782384652> :cancel:
Joseph The Engineer | <@356560403947454464> What tag?
Enderstripe | 
Enderstripe | Please wait for a *moderator* or a *administrator* to add you to the trusted members group
Enderstripe | I dont like being pinged by something like that espically with those bots coming. I had muted it but it still pings me
Martin | You can mute the <#468355710938382346> channel
Enderstripe | Thats coming from <#468202124497518602>
Martin | Oh yeah, can’t you mute <#468202124497518602> then?
Enderstripe | Read what i said again
Enderstripe | *I had muted it but it still pings me*
Enderstripe | Sorry if i seem rude
Tatsumaki | 
Martin | Ah i think you talked about tatsumaki
Martin | It’s fine
Enderstripe | It would be but there will be a huge red bar "NEW MENTIONS"
Enderstripe | I dont really like seeing that
Joseph The Engineer | ❤ That screenshot is amazing
Martin | Ah, yeah
Enderstripe | Change logs planned out- subject to change

- More houses might be added.
- Huge forest
- Expanded road (to make the map **NOT** look like a gun
- Gas station
- Minor changes
Martin | Will the map look like a pickaxe ?
Joseph The Engineer | So does everyone want me to remove the <@&468233990642335745>?
Enderstripe | Yes
Enderstripe | A dwarf pick
Enderstripe | Yes please
Enderstripe | Just replace it with Moderator
Martin | I personally don’t mind, I have notifications enabled for every messages, so yes
Enderstripe | Really short handle
Enderstripe | Same
Joseph The Engineer | help <@155957661639114752>
Moof | We're sorry to see you leaving, <@254499352544804864> :cancel:
Stumpy | 
Moof | Welcome <@254499352544804864> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233990642335745> or a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@254499352544804864> :cancel:
Stumpy | 
Moof | Welcome <@254499352544804864> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&155957661639114752> or a <@&468233437115842560> to add you to the trusted members group!
confused2570 | go with the flow man
Enderstripe | Thanks
Moof | We're sorry to see you leaving, <@254499352544804864> :cancel:
Stumpy | 
Moof | Welcome <@254499352544804864> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&155957661639114752> or a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@254499352544804864> :cancel:
Stumpy | 
Moof | Welcome <@254499352544804864> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233437115842560> to add you to the trusted members group!
Tatsumaki | 🆙  |  **Stumpy leveled up!**
Joseph The Engineer | t@prune 11
confused2570 | take the piss
Tatsumaki | 🗑  |  **Joseph The Engineer**, successfully deleted 11 messages from this channel!
Joseph The Engineer | t@prune 5
Tatsumaki | 🗑  |  **Joseph The Engineer**, successfully deleted 5 messages from this channel!
Joseph The Engineer | t@prune 2
Tatsumaki | 🗑  |  **Joseph The Engineer**, successfully deleted 2 messages from this channel!
Repository Event | 
Joseph The Engineer | help <:cancel:484597542894567436>
Enderstripe | You need helo leaving the server
Enderstripe | Click ... In a section whete you pick channels and click "leave the server"
Moof | Welcome <@504033981881253910> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233437115842560> to add you to the trusted members group!
twitter.com/memesworldwide_ | 
Moof | We're sorry to see you leaving, <@504033981881253910> :cancel:
Repository Event | 
Repository Event | 
selly.gg/p/8e800300 | 
Moof | Welcome <@504028495022784512> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@504028495022784512> <:cancel:484597542894567436>
Joseph The Engineer | Huh looks like one of the bots created their own invite
Joseph The Engineer | 
Enderstripe | That explains a lot
twitter.com/senseibin | 
Moof | SPAM DETECTED: <@504040086833332224>
Tatsumaki | 
Enderstripe | You can revoke any one thankfully
twitter.com/memesworldwide_ | 
Moof | SPAM DETECTED: <@504033981881253910>
Tatsumaki | 
Joseph The Engineer | t@notify
Tatsumaki | <:info:390511462361202688> | **Channel Notifications Menu - #admin-news**

```rb
Setup notifications for this channel

Ban & Kick notifications are enabled in #admin-news
Username & nickname notifications are disabled in #admin-news
Voice channel notifications are disabled in #admin-news
Server Join & Leave notifications are disabled in #admin-news

[1] # Disable ban & kick notifications
[2] # Enable username & nickname change notifications
[3] # Enable voice channel notifications
[4] # Enable server join & leave notifications

Type the appropriate number to access the menu.
Type 'exit' to leave the menu.
```
Joseph The Engineer | 1
Tatsumaki | 🔕  |  Ban & Kick notifications are disabled in **#admin-news**
blockmaster1 | \
blockmaster1 | \\
blockmaster1 | \
Joseph The Engineer | \
Joseph The Engineer | t@prune 4
Tatsumaki | 🗑  |  **Joseph The Engineer**, successfully deleted 4 messages from this channel!
Enderstripe | Will anyone be interested in Instagram page of GOE
Samara | <@336567873990426636> Actually Gunni is a quick builder. You know I like taking track of Worlds and there progresses
Enderstripe | I am SLOW
Samara | i found the preview worlds of atlantis raising. he took 2 weeks to finish them
Enderstripe | Yeah
Martin | I am very slow
Samara | before that he built highway to hell
Enderstripe | Thats correct
Enderstripe | Wow
Samara | and between that he took a break of two month
Enderstripe | Highway to Hell; how long did he build?
Samara | i dunno, but I assume maybe 2 to 3 weeks aswell
Samara | I mean its a project
Samara | not an entire city
Enderstripe | Ik
Enderstripe | It took me at least 64 hours to build my underground tunnel to the way it is now. 24 hours in first three days
Samara | well maybe your progress is unefficient
Enderstripe | Wym
Samara | if you work on something you probably do it in a way you would need way more time
Enderstripe | Probably
Enderstripe | I'm going to remove a lake in my world and put a jungle there.
Martin | With fly mode it will take so less time
Enderstripe | Yes
Enderstripe | When i was renovating the tunnel (in 1'8) i made a secert tunnel that basically go to the other side fast
Enderstripe | Like really fast
Enderstripe | I needed that bad when i was building it in 1'3
Jeremy | I am figuring out how to make maps, I have been testing using and old eden city version.
honda hater discord.gg/TEW6xMK | 
Moof | SPAM DETECTED: <@502675663812296725>
Dblcut3 | yay! Make sure you post some of your results lol
Dblcut3 | Hello Edeners! <:moof_icon:484597539383934976> I'm going to be in charge of compiling a list of worlds to add to a new featured list. We are looking for updates to current worlds on the list and new worlds that you believe should be included in the list.
Dblcut3 | Hello Edeners! <:moof_icon:484597539383934976> I'm going to be in charge of compiling a list of worlds to add to a new featured list. We are looking for updates to current worlds on the list and new worlds that you believe should be included in the list.


Again, if your world is already on the list, do not expect us to automatically update it! You will have to re-submit the world here. If you submit a world that is not yours, that is 100% okay and is actually encouraged - so in other words, try to find some good worlds! (preferably newer ones)


To submit your world, please visit http://app.edengame.net/search.html and search your world. You will have to copy and paste your world’s .name and .eden files (your .eden file is always above the .name file). We also ask you to post a screenshot of the uploaded world in game, but this is not required. If you have trouble with this process, please direct message me. 


The deadline for submissions to this featured list update will be November 1, 2018. We are not too strict with criteria, so do not be afraid to submit your world, whether you think it is good or bad.
Dblcut3 | 
Dblcut3 | **Attention** Please visit <#504072417035943939> to submit your world or update to the featured list! More information can be found in the pinned post on that channel!
Enderstripe | 1540130351.eden 
Garden of Eden 1'8.name
Enderstripe | That way?
the spammer is binzy 0160 | 
Moof | Welcome <@504057429961605150> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233437115842560> to add you to the trusted members group!
Moof | We're sorry to see you leaving, <@504057429961605150> <:cancel:484597542894567436>
Enderstripe | <@212611882803134464> is that how i do it?
twitch.tv/thunkyouup | 
Moof | SPAM DETECTED: <@503754773263024128>
Dblcut3 | Yep! But just a warning - I will not take another updated version of your world before November 3rd. So make sure you will not release another update before the deadline because the one you just submitted will be the final one I use.
Dblcut3 | <@356560403947454464>
Enderstripe | Okay
Enderstripe | Ill prob finish it in like end of November
Enderstripe | Lol
Jeremy | t!daily
Tatsumaki | 🏧 | **Jeremy**, **you received your 💴 200 daily credits!**

**Streak: <:b_:400807295363317760><:o_:400807295833079808><:nu:400807295845662721><:uu:400807296231538688><:su:400807295870697473>**
Jeremy | When you guys say you want mountains what are you expecting?
•••santiago••• | Yes you can also do by only dividing line ice block but makig all ice makes it way easier as you dont fall of the ice
•••santiago••• | So the idea in Frabanta now is that you have highways and a few avenues like that to go faster around while secondary streets are like always with center ice block
Dblcut3 | i guess just tall mountains with unique shapes
Dblcut3 | but im sure thats nearly impossible
dev once more | 
Moof | Welcome <@375475837388193793> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233437115842560> to add you to the trusted members group!
Joseph The Engineer | Welcome <@375475837388193793>! 👋
Repository Event | 
sam | <@!206259486401363969> !! I remember that
sam | It was “football by .....” with someone’s name that I can’t remember
Joseph The Engineer | <@&468233990642335745> Move <#504072417035943939> into META?
Joseph The Engineer | I don't really use instagram ¯\_(ツ)_/¯
Joseph The Engineer | Although I do use twitter
Joseph The Engineer | !help
Rythm | ✅ **Check <https://rythmbot.co/features#list> for a list of commands**
UnbelievaBoat | __**Command List**__
<https://unbelievable.pizza/commands>

__**Support Server**__
https://discord.gg/YMJ2dGp
Ask questions in the #support channel

__**Upvote**__
You can show your support for UnbelievaBoat by upvoting it here:
<https://discordbots.org/bot/unbelievable>

__**Help Command**__
`help [command or module]` - provides help for a command or lists all commands in a module
`help modules` - lists all modules
Zoinkkz | 
Moof | Welcome <@283829924001873930> to the discord server for Eden: Universe Builder! :D

Please wait for a <@&468233437115842560> to add you to the trusted members group!
Joseph The Engineer | Welcome <@283829924001873930> 👋 to the Eden Discord server!
Zoinkkz | Howdy
Joseph The Engineer | hey
Joseph The Engineer | <@&468731006837325825> Hello Edeners! <:destroy:484597541963300865>  We are compiling a list of worlds to add to a new featured list and we are looking for updates to current worlds on the list as well as new worlds that you believe should be included in the list. See <#504072417035943939> for more info.
ChazyB06 | 1540275171.eden
DC EMPIRE 11'8.name
ChazyB06 | Hello! For the <#504072417035943939> , just updated DCE!
Joseph The Engineer | 1540130351.eden 
Garden of Eden 1'8.name ~ Enderstripe
Joseph The Engineer | 1540275171.eden
DC EMPIRE 11'8.name ~ <@327964991603081216>
Joseph The Engineer | Nice! 🎉
Joseph The Engineer | Anyone using **UnbelievaBoat Bot**
Repository Event | 
Martin | I will have to work very hard if I want V5 to be ready before the deadline of <#504072417035943939>
Repository Event | 
FJSP | t!daily
Tatsumaki | 🏧 | **FJSP**, **you received your 💴 200 daily credits!**

**Streak: <:b_:400807295363317760><:o_:400807295833079808><:n_:400807295648399362><:u_:400807295879217153><:s_:400807296122486784>**

**You completed a streak and added an extra 💴 150 bonus credits (350 total)!**
Joseph The Engineer | t!daily
Tatsumaki | 🏧 | **Joseph The Engineer**, **you received your 💴 200 daily credits!**

**Streak: <:b_:400807295363317760><:o_:400807295833079808><:n_:400807295648399362><:u_:400807295879217153><:s_:400807296122486784>**

**You completed a streak and added an extra 💴 113 bonus credits (313 total)!**
Joseph The Engineer | 🎉
